MunicipioNome | MunicipioCodigo | Ano | ICV
Carlos Chagas | 3113701 | 2016 | 94.52802336903602
Carlos Chagas | 3113701 | 2017 | 94.98836206896551
Carlos Chagas | 3113701 | 2018 | 100.0
Carlos Chagas | 3113701 | 2019 | 100.0
Carlos Chagas | 3113701 | 2020 | 75.0
Carmo da Cachoeira | 3113909 | 2015 | 100.0
Carmo da Cachoeira | 3113909 | 2016 | 100.0
Carmo da Cachoeira | 3113909 | 2017 | 100.0
Carmo da Cachoeira | 3113909 | 2018 | 46.51599025974026
Carmo da Cachoeira | 3113909 | 2019 | 100.0
Carmo da Cachoeira | 3113909 | 2020 | 100.0
Carmo de Minas | 3114105 | 2015 | 100.0
Carmo de Minas | 3114105 | 2016 | 100.0
Carmo de Minas | 3114105 | 2017 | 100.0
Carmo de Minas | 3114105 | 2018 | 100.0
Carmo de Minas | 3114105 | 2019 | 100.0
Carmo de Minas | 3114105 | 2020 | 100.0
Carneirinho | 3114550 | 2015 | 97.98448122529645
Carneirinho | 3114550 | 2016 | 97.6829040895813
Carneirinho | 3114550 | 2017 | 100.0
Carneirinho | 3114550 | 2018 | 93.37758116883117
Carneirinho | 3114550 | 2019 | 81.43872288706058
Carneirinho | 3114550 | 2020 | 75.0
Carrancas | 3114600 | 2015 | 100.0
Carrancas | 3114600 | 2016 | 100.0
Carrancas | 3114600 | 2017 | 100.0
Carrancas | 3114600 | 2018 | 100.0
Carrancas | 3114600 | 2019 | 100.0
Carrancas | 3114600 | 2020 | 100.0
Carvalhópolis | 3114709 | 2015 | 100.0
Carvalhópolis | 3114709 | 2016 | 97.19983690360273
Carvalhópolis | 3114709 | 2017 | 100.0
Carvalhópolis | 3114709 | 2018 | 100.0
Carvalhópolis | 3114709 | 2019 | 100.0
Carvalhópolis | 3114709 | 2020 | 100.0
Carvalhos | 3114808 | 2015 | 100.0
Carvalhos | 3114808 | 2016 | 100.0
Carvalhos | 3114808 | 2017 | 100.0
Carvalhos | 3114808 | 2018 | 100.0
Carvalhos | 3114808 | 2019 | 100.0
Carvalhos | 3114808 | 2020 | 100.0
Cascalho Rico | 3115003 | 2015 | 94.82376976284584
Cascalho Rico | 3115003 | 2016 | 88.52358812074002
Cascalho Rico | 3115003 | 2017 | 100.0
Cascalho Rico | 3115003 | 2018 | 100.0
Cascalho Rico | 3115003 | 2019 | 83.34856768885564
Cascalho Rico | 3115003 | 2020 | 100.0
Conceição da Barra de Minas | 3115201 | 2015 | 84.46859683794466
Conceição da Barra de Minas | 3115201 | 2016 | 100.0
Conceição da Barra de Minas | 3115201 | 2017 | 100.0
Conceição da Barra de Minas | 3115201 | 2018 | 100.0
Conceição da Barra de Minas | 3115201 | 2019 | 100.0
Conceição da Barra de Minas | 3115201 | 2020 | 100.0
Cedro do Abaeté | 3115607 | 2015 | 100.0
Cedro do Abaeté | 3115607 | 2016 | 76.59351265822785
Cedro do Abaeté | 3115607 | 2017 | 100.0
Cedro do Abaeté | 3115607 | 2018 | 100.0
Cedro do Abaeté | 3115607 | 2019 | 100.0
Cedro do Abaeté | 3115607 | 2020 | 50.0
Chiador | 3116209 | 2015 | 93.4035918972332
Chiador | 3116209 | 2016 | 100.0
Chiador | 3116209 | 2017 | 100.0
Chiador | 3116209 | 2018 | 100.0
Chiador | 3116209 | 2019 | 100.0
Chiador | 3116209 | 2020 | 97.20920986622073
Claraval | 3116407 | 2015 | 96.30462944664032
Claraval | 3116407 | 2016 | 96.35860272638755
Claraval | 3116407 | 2017 | 100.0
Claraval | 3116407 | 2018 | 100.0
Claraval | 3116407 | 2019 | 100.0
Claraval | 3116407 | 2020 | 100.0
Claro dos Poções | 3116506 | 2015 | 90.69545948616602
Claro dos Poções | 3116506 | 2016 | 100.0
Claro dos Poções | 3116506 | 2017 | 100.0
Claro dos Poções | 3116506 | 2018 | 100.0
Claro dos Poções | 3116506 | 2019 | 97.53502804786837
Claro dos Poções | 3116506 | 2020 | 100.0
Comercinho | 3117009 | 2015 | 83.7719219367589
Comercinho | 3117009 | 2016 | 75.0
Comercinho | 3117009 | 2017 | 100.0
Comercinho | 3117009 | 2018 | 80.61061688311688
Comercinho | 3117009 | 2019 | 91.06666791323859
Comercinho | 3117009 | 2020 | 100.0
Conceição das Pedras | 3117207 | 2015 | 100.0
Conceição das Pedras | 3117207 | 2016 | 100.0
Conceição das Pedras | 3117207 | 2017 | 100.0
Conceição das Pedras | 3117207 | 2018 | 100.0
Conceição das Pedras | 3117207 | 2019 | 100.0
Conceição das Pedras | 3117207 | 2020 | 100.0
Conceição do Rio Verde | 3117702 | 2015 | 100.0
Conceição do Rio Verde | 3117702 | 2016 | 100.0
