MunicipioNome | MunicipioCodigo | Ano | IAB
Caranaíba | 3113107 | 2018 | 56.08888888888888
Caranaíba | 3113107 | 2019 | 34.21052631578947
Caranaíba | 3113107 | 2020 | 34.21052631578947
Careaçu | 3113602 | 2015 | 74.62460998121375
Careaçu | 3113602 | 2016 | 72.05305197619892
Careaçu | 3113602 | 2017 | 71.24379267535691
Careaçu | 3113602 | 2018 | 69.86436781609196
Careaçu | 3113602 | 2019 | 70.1906090190609
Careaçu | 3113602 | 2020 | 68.27175295186196
Carlos Chagas | 3113701 | 2015 | 49.047646783155926
Carlos Chagas | 3113701 | 2016 | 60.07295690936106
Carlos Chagas | 3113701 | 2017 | 59.78579486697377
Carlos Chagas | 3113701 | 2018 | 54.03460677625994
Carlos Chagas | 3113701 | 2019 | 46.476171352074964
Carlos Chagas | 3113701 | 2020 | 50.14500939151706
Carmo da Cachoeira | 3113909 | 2015 | 66.6733446245665
Carmo da Cachoeira | 3113909 | 2016 | 63.43538803989555
Carmo da Cachoeira | 3113909 | 2017 | 68.73302461613453
Carmo da Cachoeira | 3113909 | 2018 | 72.29375788420549
Carmo da Cachoeira | 3113909 | 2019 | 68.8528892385698
Carmo da Cachoeira | 3113909 | 2020 | 68.48464044099224
Carmo de Minas | 3114105 | 2015 | 64.83497870692993
Carmo de Minas | 3114105 | 2016 | 66.59538066723695
Carmo de Minas | 3114105 | 2017 | 66.6049971033993
Carmo de Minas | 3114105 | 2018 | 66.48394370577715
Carmo de Minas | 3114105 | 2019 | 66.18725670969064
Carmo de Minas | 3114105 | 2020 | 66.543728443124
Carneirinho | 3114550 | 2015 | 59.6996699669967
Carneirinho | 3114550 | 2016 | 57.635223861531585
Carneirinho | 3114550 | 2017 | 57.60664946976211
Carneirinho | 3114550 | 2018 | 58.40275049115913
Carneirinho | 3114550 | 2019 | 60.51203155818541
Carneirinho | 3114550 | 2020 | 62.36601307189542
Erros | 3114600 | 2015 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Carrancas | 3114600 | 2015 | ?
Carrancas | 3114600 | 2016 | 34.333333333333336
Erros | 3114600 | 2017 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Carrancas | 3114600 | 2017 | ?
Erros | 3114600 | 2018 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Carrancas | 3114600 | 2018 | ?
Erros | 3114600 | 2019 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Carrancas | 3114600 | 2019 | ?
Carrancas | 3114600 | 2020 | 33.233333333333334
Carvalhópolis | 3114709 | 2015 | 68.64404008438818
Carvalhópolis | 3114709 | 2016 | 70.1828215398309
Carvalhópolis | 3114709 | 2017 | 69.62475660639778
Carvalhópolis | 3114709 | 2018 | 70.84019341190692
Carvalhópolis | 3114709 | 2019 | 70.29673740435976
Carvalhópolis | 3114709 | 2020 | 70.53094669848846
Carvalhos | 3114808 | 2015 | 76.76181533646321
Carvalhos | 3114808 | 2016 | 74.86232401348404
Carvalhos | 3114808 | 2017 | 72.78499594484997
Carvalhos | 3114808 | 2018 | 72.98416569879984
Carvalhos | 3114808 | 2019 | 66.33574406380279
Carvalhos | 3114808 | 2020 | 66.2815485996705
Cascalho Rico | 3115003 | 2015 | 67.29458394879369
Cascalho Rico | 3115003 | 2016 | 66.51479521849892
Cascalho Rico | 3115003 | 2017 | 56.2503671071953
Cascalho Rico | 3115003 | 2018 | 57.064220183486235
Cascalho Rico | 3115003 | 2019 | 57.48960244648318
Cascalho Rico | 3115003 | 2020 | 56.95531135531136
Conceição da Barra de Minas | 3115201 | 2015 | 66.08746177370031
Conceição da Barra de Minas | 3115201 | 2016 | 64.36666666666666
Conceição da Barra de Minas | 3115201 | 2017 | 64.43084370677731
Conceição da Barra de Minas | 3115201 | 2018 | 65.59480122324159
Conceição da Barra de Minas | 3115201 | 2019 | 64.45840978593272
Conceição da Barra de Minas | 3115201 | 2020 | 66.0013431013431
Cedro do Abaeté | 3115607 | 2015 | 62.369626639757826
Cedro do Abaeté | 3115607 | 2016 | 62.26516853932585
Cedro do Abaeté | 3115607 | 2017 | 59.95855855855856
Cedro do Abaeté | 3115607 | 2018 | 59.675918177591825
Cedro do Abaeté | 3115607 | 2019 | 58.99182389937107
Cedro do Abaeté | 3115607 | 2020 | 62.44007744433688
Chiador | 3116209 | 2015 | 52.07142857142858
Chiador | 3116209 | 2016 | 52.17142857142857
Chiador | 3116209 | 2017 | 52.271428571428565
Chiador | 3116209 | 2018 | 52.91637426900584
Chiador | 3116209 | 2019 | 53.08304093567251
Chiador | 3116209 | 2020 | 66.83450292397661
Claraval | 3116407 | 2015 | 66.66666666666667
Claraval | 3116407 | 2016 | 55.81623931623932
Claraval | 3116407 | 2017 | 66.33333333333333
Claraval | 3116407 | 2018 | 66.60000000000001
Claraval | 3116407 | 2019 | 66.36666666666666
Claraval | 3116407 | 2020 | 66.66666666666667
Claro dos Poções | 3116506 | 2015 | 71.42264995523725
Claro dos Poções | 3116506 | 2016 | 70.79272615194945
Claro dos Poções | 3116506 | 2017 | 68.00569105691058
Claro dos Poções | 3116506 | 2018 | 70.04189602446483
Claro dos Poções | 3116506 | 2019 | 67.80030581039755
Claro dos Poções | 3116506 | 2020 | 70.18022598870057
Comercinho | 3117009 | 2015 | 49.984026203073824
Comercinho | 3117009 | 2016 | 45.30627114233672
Comercinho | 3117009 | 2017 | 40.839922402836315
Comercinho | 3117009 | 2018 | 48.135179610676296
Comercinho | 3117009 | 2019 | 41.596003418129236
Comercinho | 3117009 | 2020 | 54.06606606606607
Conceição das Pedras | 3117207 | 2015 | 67.66666666666667
Conceição das Pedras | 3117207 | 2016 | 67.60000000000001
Conceição das Pedras | 3117207 | 2017 | 66.56666666666666
Conceição das Pedras | 3117207 | 2018 | 63.56666666666666
Conceição das Pedras | 3117207 | 2019 | 52.455555555555556
Conceição das Pedras | 3117207 | 2020 | 61.111111111111114
Conceição do Rio Verde | 3117702 | 2015 | 65.35467613943247
Conceição do Rio Verde | 3117702 | 2016 | 66.22814561446371
Conceição do Rio Verde | 3117702 | 2017 | 65.39814271749755
Conceição do Rio Verde | 3117702 | 2018 | 68.67531325201229
Conceição do Rio Verde | 3117702 | 2019 | 66.74083274744162
Conceição do Rio Verde | 3117702 | 2020 | 69.4916486497944
Cônego Marinho | 3117836 | 2015 | 64.58715596330275
Cônego Marinho | 3117836 | 2016 | 64.86238532110092
Cônego Marinho | 3117836 | 2017 | 56.879432624113484
Cônego Marinho | 3117836 | 2018 | 60.76452599388379
Cônego Marinho | 3117836 | 2019 | 59.93333333333334
Cônego Marinho | 3117836 | 2020 | 60.41709401709401
Congonhal | 3117900 | 2015 | 74.28921441534872
Congonhal | 3117900 | 2016 | 73.57322354376335
Congonhal | 3117900 | 2017 | 73.68195950831524
Congonhal | 3117900 | 2018 | 73.44350989264484
Congonhal | 3117900 | 2019 | 71.20696018982336
Congonhal | 3117900 | 2020 | 69.94237148672643
Cordislândia | 3119005 | 2015 | 73.21167842811678
Cordislândia | 3119005 | 2016 | 75.8398352456605
Cordislândia | 3119005 | 2017 | 76.25421245421246
Cordislândia | 3119005 | 2018 | 76.75354342358337
Cordislândia | 3119005 | 2019 | 76.70281051677244
Cordislândia | 3119005 | 2020 | 75.75107764983761
Coronel Murta | 3119500 | 2015 | 49.78190265019534
Erros | 3119500 | 2016 | [snisModel.QD028]
Coronel Murta | 3119500 | 2016 | ?
Erros | 3119500 | 2017 | [snisModel.QD028]
Coronel Murta | 3119500 | 2017 | ?
Erros | 3119500 | 2018 | [snisModel.QD028]
Coronel Murta | 3119500 | 2018 | ?
Erros | 3119500 | 2019 | [snisModel.QD028]
Coronel Murta | 3119500 | 2019 | ?
Erros | 3119500 | 2020 | [snisModel.QD028]
Coronel Murta | 3119500 | 2020 | ?
Córrego Danta | 3119807 | 2015 | 50.1084249084249
Córrego Danta | 3119807 | 2016 | 47.66220735785953
Córrego Danta | 3119807 | 2017 | 47.528942115768466
Córrego Danta | 3119807 | 2018 | 56.02618013321749
Córrego Danta | 3119807 | 2019 | 53.8635280441732
Córrego Danta | 3119807 | 2020 | 65.94523881652024
