MunicipioNome | MunicipioCodigo | Ano | IRH
Capetinga | 3112406 | 2016 | 77.795
Capetinga | 3112406 | 2017 | 77.74
Capetinga | 3112406 | 2018 | 77.3
Capetinga | 3112406 | 2019 | 77.47
Capetinga | 3112406 | 2020 | 76.555
Capim Branco | 3112505 | 2015 | 77.185
Capim Branco | 3112505 | 2016 | 77.31
Capim Branco | 3112505 | 2017 | 76.63
Capim Branco | 3112505 | 2018 | 76.735
Capim Branco | 3112505 | 2019 | 77.435
Capim Branco | 3112505 | 2020 | 76.6
Caputira | 3112901 | 2015 | 79.97
Caputira | 3112901 | 2016 | 78.825
Caputira | 3112901 | 2017 | 78.66
Caputira | 3112901 | 2018 | 78.57
Caputira | 3112901 | 2019 | 79.215
Caputira | 3112901 | 2020 | 78.545
Caranaíba | 3113107 | 2015 | 79.97
Caranaíba | 3113107 | 2016 | 78.825
Caranaíba | 3113107 | 2017 | 78.66
Caranaíba | 3113107 | 2018 | 78.57
Caranaíba | 3113107 | 2019 | 79.215
Caranaíba | 3113107 | 2020 | 78.545
Careaçu | 3113602 | 2015 | 78.405
Careaçu | 3113602 | 2016 | 78.445
Careaçu | 3113602 | 2017 | 77.995
Careaçu | 3113602 | 2018 | 77.74
Careaçu | 3113602 | 2019 | 77.58500000000001
Careaçu | 3113602 | 2020 | 74.405
Carlos Chagas | 3113701 | 2015 | 80.475
Carlos Chagas | 3113701 | 2016 | 29.41
Carlos Chagas | 3113701 | 2017 | 27.85
Carlos Chagas | 3113701 | 2018 | 28.565
Carlos Chagas | 3113701 | 2019 | 28.81
Carlos Chagas | 3113701 | 2020 | 79.24
Carmo da Cachoeira | 3113909 | 2015 | 78.405
Carmo da Cachoeira | 3113909 | 2016 | 79.255
Carmo da Cachoeira | 3113909 | 2017 | 77.625
Carmo da Cachoeira | 3113909 | 2018 | 78.41
Carmo da Cachoeira | 3113909 | 2019 | 78.24
Carmo da Cachoeira | 3113909 | 2020 | 77.345
Carmo de Minas | 3114105 | 2015 | 78.405
Carmo de Minas | 3114105 | 2016 | 79.305
Carmo de Minas | 3114105 | 2017 | 78.19
Carmo de Minas | 3114105 | 2018 | 78.12
Carmo de Minas | 3114105 | 2019 | 78.235
