MunicipioNome | MunicipioCodigo | Ano | IRS
Camacho | 3110400 | 2017 | ?
Camacho | 3110400 | 2018 | ?
Camacho | 3110400 | 2019 | ?
Camacho | 3110400 | 2020 | 33.333333333333336
Cambuquira | 3110707 | 2015 | 33.333333333333336
Cambuquira | 3110707 | 2016 | ?
Cambuquira | 3110707 | 2017 | 33.333333333333336
Cambuquira | 3110707 | 2018 | 31.37
Cambuquira | 3110707 | 2019 | 31.376666666666665
Cambuquira | 3110707 | 2020 | 31.373333333333335
Campanha | 3110905 | 2015 | ?
Campanha | 3110905 | 2016 | 33.333333333333336
Campanha | 3110905 | 2017 | 0.2333333333333333
Campanha | 3110905 | 2018 | ?
Campanha | 3110905 | 2019 | ?
Campanha | 3110905 | 2020 | ?
Campina Verde | 3111101 | 2015 | 33.333333333333336
Campina Verde | 3111101 | 2016 | 33.333333333333336
Campina Verde | 3111101 | 2017 | 0.0
Campina Verde | 3111101 | 2018 | 0.0
Campina Verde | 3111101 | 2019 | 33.333333333333336
Campina Verde | 3111101 | 2020 | 33.333333333333336
Campo do Meio | 3111309 | 2015 | 0.0
Campo do Meio | 3111309 | 2016 | ?
Campo do Meio | 3111309 | 2017 | ?
Campo do Meio | 3111309 | 2018 | ?
Campo do Meio | 3111309 | 2019 | ?
Campo do Meio | 3111309 | 2020 | ?
Campo Florido | 3111408 | 2015 | ?
Campo Florido | 3111408 | 2016 | ?
Campo Florido | 3111408 | 2017 | ?
Campo Florido | 3111408 | 2018 | ?
Campo Florido | 3111408 | 2019 | 33.333333333333336
Campo Florido | 3111408 | 2020 | ?
Canaã | 3111705 | 2015 | ?
Canaã | 3111705 | 2016 | ?
Canaã | 3111705 | 2017 | ?
Canaã | 3111705 | 2018 | ?
Canaã | 3111705 | 2019 | ?
Canaã | 3111705 | 2020 | ?
Cana Verde | 3111903 | 2015 | ?
Cana Verde | 3111903 | 2016 | 33.333333333333336
Cana Verde | 3111903 | 2017 | ?
Cana Verde | 3111903 | 2018 | ?
Cana Verde | 3111903 | 2019 | ?
Cana Verde | 3111903 | 2020 | ?
Caparaó | 3112109 | 2015 | ?
Caparaó | 3112109 | 2016 | 31.64
Caparaó | 3112109 | 2017 | 33.333333333333336
Caparaó | 3112109 | 2018 | 33.333333333333336
Caparaó | 3112109 | 2019 | 33.333333333333336
Caparaó | 3112109 | 2020 | 33.333333333333336
Capetinga | 3112406 | 2015 | 33.32666666666667
Capetinga | 3112406 | 2016 | 33.333333333333336
Capetinga | 3112406 | 2017 | 33.333333333333336
Capetinga | 3112406 | 2018 | 33.333333333333336
Capetinga | 3112406 | 2019 | 33.333333333333336
Capetinga | 3112406 | 2020 | 33.333333333333336
Capim Branco | 3112505 | 2015 | ?
Capim Branco | 3112505 | 2016 | ?
Capim Branco | 3112505 | 2017 | ?
Capim Branco | 3112505 | 2018 | ?
Capim Branco | 3112505 | 2019 | ?
Capim Branco | 3112505 | 2020 | ?
Caputira | 3112901 | 2015 | 23.75
Caputira | 3112901 | 2016 | 23.69333333333333
Caputira | 3112901 | 2017 | 25.33666666666667
Caputira | 3112901 | 2018 | 25.72666666666667
Caputira | 3112901 | 2019 | 25.7
Caputira | 3112901 | 2020 | 25.673333333333332
Caranaíba | 3113107 | 2015 | ?
Caranaíba | 3113107 | 2016 | ?
Caranaíba | 3113107 | 2017 | ?
Caranaíba | 3113107 | 2018 | ?
Caranaíba | 3113107 | 2019 | ?
Caranaíba | 3113107 | 2020 | ?
Careaçu | 3113602 | 2015 | ?
Careaçu | 3113602 | 2016 | ?
Careaçu | 3113602 | 2017 | ?
Careaçu | 3113602 | 2018 | ?
Careaçu | 3113602 | 2019 | ?
Careaçu | 3113602 | 2020 | ?
Carlos Chagas | 3113701 | 2015 | 33.333333333333336
Carlos Chagas | 3113701 | 2016 | 33.333333333333336
Carlos Chagas | 3113701 | 2017 | 33.333333333333336
Carlos Chagas | 3113701 | 2018 | ?
Carlos Chagas | 3113701 | 2019 | ?
Carlos Chagas | 3113701 | 2020 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2015 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2016 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2017 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2018 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2019 | 33.333333333333336
Carmo da Cachoeira | 3113909 | 2020 | ?
Carmo de Minas | 3114105 | 2015 | 33.333333333333336
Carmo de Minas | 3114105 | 2016 | 33.333333333333336
Carmo de Minas | 3114105 | 2017 | 33.333333333333336
Carmo de Minas | 3114105 | 2018 | 33.333333333333336
Carmo de Minas | 3114105 | 2019 | 33.333333333333336
Carmo de Minas | 3114105 | 2020 | 33.333333333333336
Carneirinho | 3114550 | 2015 | 33.333333333333336
Carneirinho | 3114550 | 2016 | 33.333333333333336
Carneirinho | 3114550 | 2017 | 33.333333333333336
Carneirinho | 3114550 | 2018 | 33.333333333333336
Carneirinho | 3114550 | 2019 | 33.333333333333336
Carneirinho | 3114550 | 2020 | 33.333333333333336
Carrancas | 3114600 | 2015 | ?
Carrancas | 3114600 | 2016 | ?
Carrancas | 3114600 | 2017 | ?
Carrancas | 3114600 | 2018 | ?
Carrancas | 3114600 | 2019 | ?
Carrancas | 3114600 | 2020 | ?
Carvalhópolis | 3114709 | 2015 | ?
Carvalhópolis | 3114709 | 2016 | ?
Carvalhópolis | 3114709 | 2017 | ?
Carvalhópolis | 3114709 | 2018 | ?
Carvalhópolis | 3114709 | 2019 | ?
Carvalhópolis | 3114709 | 2020 | ?
Carvalhos | 3114808 | 2015 | ?
Carvalhos | 3114808 | 2016 | ?
Carvalhos | 3114808 | 2017 | ?
Carvalhos | 3114808 | 2018 | ?
Carvalhos | 3114808 | 2019 | 60.0
Carvalhos | 3114808 | 2020 | 33.333333333333336
Cascalho Rico | 3115003 | 2015 | ?
Cascalho Rico | 3115003 | 2016 | 19.323333333333334
Cascalho Rico | 3115003 | 2017 | 60.0
Cascalho Rico | 3115003 | 2018 | 33.333333333333336
Cascalho Rico | 3115003 | 2019 | 33.14333333333334
Cascalho Rico | 3115003 | 2020 | ?
Conceição da Barra de Minas | 3115201 | 2015 | 60.0
Conceição da Barra de Minas | 3115201 | 2016 | ?
Conceição da Barra de Minas | 3115201 | 2017 | ?
Conceição da Barra de Minas | 3115201 | 2018 | 60.0
Conceição da Barra de Minas | 3115201 | 2019 | ?
Conceição da Barra de Minas | 3115201 | 2020 | 58.96
Cedro do Abaeté | 3115607 | 2015 | 33.333333333333336
Cedro do Abaeté | 3115607 | 2016 | 33.333333333333336
Cedro do Abaeté | 3115607 | 2017 | 33.333333333333336
Cedro do Abaeté | 3115607 | 2018 | 33.333333333333336
Cedro do Abaeté | 3115607 | 2019 | 33.333333333333336
Cedro do Abaeté | 3115607 | 2020 | 33.333333333333336
Chiador | 3116209 | 2015 | ?
Chiador | 3116209 | 2016 | ?
Chiador | 3116209 | 2017 | ?
Chiador | 3116209 | 2018 | ?
Chiador | 3116209 | 2019 | ?
Chiador | 3116209 | 2020 | ?
Claraval | 3116407 | 2015 | ?
Claraval | 3116407 | 2016 | ?
Claraval | 3116407 | 2017 | ?
Claraval | 3116407 | 2018 | ?
Claraval | 3116407 | 2019 | ?
Claraval | 3116407 | 2020 | ?
Claro dos Poções | 3116506 | 2015 | ?
Claro dos Poções | 3116506 | 2016 | 33.333333333333336
Claro dos Poções | 3116506 | 2017 | ?
Claro dos Poções | 3116506 | 2018 | ?
Claro dos Poções | 3116506 | 2019 | ?
Claro dos Poções | 3116506 | 2020 | 60.0
Comercinho | 3117009 | 2015 | 2.986666666666667
Comercinho | 3117009 | 2016 | 15.166666666666666
Comercinho | 3117009 | 2017 | 16.419999999999998
Comercinho | 3117009 | 2018 | 16.496666666666666
